resource,operation,ownerUser,attackerUser,resourceIdHash,httpStatus,errorCode,apiAuthz,rlsResult,expected,actual,status,evidenceRef
notification,B_READ,USER_A,USER_B,08aeaac4e921a52a,404,NOTIFICATION_NOT_FOUND,DENIED_OR_INVISIBLE,CHECKED_BY_SEPARATE_NEON_EVIDENCE,403_OR_404_OR_INVISIBLE,DENIED_OR_INVISIBLE,PASS,docs/notifications/STAGING_NOTIFICATION_RUNTIME_EVIDENCE.json
notification,B_MARK_READ,USER_A,USER_B,08aeaac4e921a52a,404,NOTIFICATION_NOT_FOUND,DENIED_OR_INVISIBLE,CHECKED_BY_SEPARATE_NEON_EVIDENCE,403_OR_404_OR_INVISIBLE,DENIED_OR_INVISIBLE,PASS,docs/notifications/STAGING_NOTIFICATION_RUNTIME_EVIDENCE.json
notification,B_ARCHIVE,USER_A,USER_B,08aeaac4e921a52a,404,NOTIFICATION_NOT_FOUND,DENIED_OR_INVISIBLE,CHECKED_BY_SEPARATE_NEON_EVIDENCE,403_OR_404_OR_INVISIBLE,DENIED_OR_INVISIBLE,PASS,docs/notifications/STAGING_NOTIFICATION_RUNTIME_EVIDENCE.json
notification,B_DELETE,USER_A,USER_B,08aeaac4e921a52a,404,NOTIFICATION_NOT_FOUND,DENIED_OR_INVISIBLE,CHECKED_BY_SEPARATE_NEON_EVIDENCE,403_OR_404_OR_INVISIBLE,DENIED_OR_INVISIBLE,PASS,docs/notifications/STAGING_NOTIFICATION_RUNTIME_EVIDENCE.json
device,B_REVOKE,USER_A,USER_B,9844a2880178a4fa,404,NOTIFICATION_DEVICE_NOT_FOUND,DENIED_OR_INVISIBLE,CHECKED_BY_SEPARATE_NEON_EVIDENCE,403_OR_404_OR_INVISIBLE,DENIED_OR_INVISIBLE,PASS,docs/notifications/STAGING_NOTIFICATION_RUNTIME_EVIDENCE.json
